sourcefiles/js/at.js: line 58, col 14, 'x' is already defined.
sourcefiles/js/at.js: line 60, col 13, 'sx' is already defined.
sourcefiles/js/at.js: line 174, col 13, '_datea' is already defined.
sourcefiles/js/at.js: line 175, col 13, '_da' is already defined.
sourcefiles/js/at.js: line 289, col 12, ['Save'] is better written in dot notation.
sourcefiles/js/at.js: line 290, col 12, ['Cancel'] is better written in dot notation.
sourcefiles/js/at.js: line 380, col 23, ['tags'] is better written in dot notation.
sourcefiles/js/at.js: line 533, col 9, '_b' is already defined.
sourcefiles/js/at.js: line 1039, col 21, '_h' is already defined.
sourcefiles/js/at.js: line 1040, col 21, '_m' is already defined.

sourcefiles/js/bqe.js: line 179, col 37, ['satellites'] is better written in dot notation.
sourcefiles/js/bqe.js: line 181, col 43, ['service'] is better written in dot notation.
sourcefiles/js/bqe.js: line 182, col 43, ['name'] is better written in dot notation.
sourcefiles/js/bqe.js: line 208, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 210, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 211, col 43, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 236, col 53, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 237, col 56, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 247, col 35, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 248, col 35, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 273, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 275, col 54, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 275, col 81, ['startpos'] is better written in dot notation.
sourcefiles/js/bqe.js: line 276, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 277, col 43, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 301, col 53, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 302, col 56, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 323, col 37, ['services'] is better written in dot notation.
sourcefiles/js/bqe.js: line 325, col 43, ['servicereference'] is better written in dot notation.
sourcefiles/js/bqe.js: line 326, col 41, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 327, col 41, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 328, col 49, ['pos'] is better written in dot notation.
sourcefiles/js/bqe.js: line 329, col 35, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 336, col 54, ['ismarker'] is better written in dot notation.
sourcefiles/js/bqe.js: line 649, col 35, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 652, col 45, ['servicename'] is better written in dot notation.
sourcefiles/js/bqe.js: line 653, col 49, ['servicereference'] is better written in dot notation.

sourcefiles/js/openwebif.js: line 655, col 44, ['disabled'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 744, col 16, You might be leaking a variable (current_ref) here.
sourcefiles/js/openwebif.js: line 744, col 40, ['currservice_serviceref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 745, col 19, You might be leaking a variable (current_name) here.
sourcefiles/js/openwebif.js: line 745, col 44, ['currservice_station'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 752, col 44, ['currservice_begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 752, col 86, ['currservice_end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 755, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 762, col 227, ['currservice_fulldescription'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 762, col 278, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 766, col 230, ['currservice_fulldescription'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 766, col 281, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 768, col 27, ['transcoding'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 769, col 74, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 770, col 76, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 772, col 84, ['currservice_filename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 775, col 59, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 777, col 50, ['currservice_name'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 779, col 41, ['currservice_description'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 795, col 48, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 796, col 36, ['volume'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 801, col 23, ['muted'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 813, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 819, col 23, ['isRecording'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 820, col 138, ['Recording_list'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 826, col 23, ['inStandby'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 871, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 898, col 50, ['message'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1044, col 18, 'id' is already defined.
sourcefiles/js/openwebif.js: line 1733, col 29, ['sref'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1735, col 47, ['begin'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1736, col 47, ['end'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1992, col 22, ['servicereference'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1993, col 23, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1994, col 77, ['servicename'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1995, col 24, ['subservices'] is better written in dot notation.
sourcefiles/js/openwebif.js: line 1998, col 26, ['servicereference'] is better written in dot notation.
